"A 행정구역(시군구)별",M202004 2020. 04,M202004 2020. 04,M202004 2020. 04,M202005 2020. 05,M202005 2020. 05,M202005 2020. 05,M202006 2020. 06,M202006 2020. 06,M202006 2020. 06
"A 행정구역(시군구)별",T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명),T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명),T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명)
"36 세종특별자치시",345216,172176,173040,345373,172269,173104,345341,172234,173107
"36110 세종시",345216,172176,173040,345373,172269,173104,345341,172234,173107
"41 경기도",13311254,6696531,6614723,13324041,6703603,6620438,13338020,6711047,6626973
"41110 수원시",1192622,600616,592006,1192018,600154,591864,1191542,599868,591674
"41111 장안구",276611,139377,137234,276317,139181,137136,275875,138916,136959
"41113 권선구",370955,187190,183765,370687,187053,183634,370648,187043,183605
"41115 팔달구",175446,88408,87038,175396,88354,87042,175468,88401,87067
"41117 영통구",369610,185641,183969,369618,185566,184052,369551,185508,184043
"41130 성남시",941527,466119,475408,940519,465640,474879,939748,465307,474441
"41131 수정구",234653,118680,115973,234702,118761,115941,234729,118800,115929
"41133 중원구",219155,111002,108153,218785,110836,107949,218485,110657,107828
"41135 분당구",487719,236437,251282,487032,236043,250989,486534,235850,250684
"41150 의정부시",454222,223765,230457,454859,224100,230759,455520,224416,231104
"41170 안양시",561069,277727,283342,559792,276997,282795,558017,276140,281877
"41171 만안구",241999,121239,120760,242105,121248,120857,241830,121115,120715
"41173 동안구",319070,156488,162582,317687,155749,161938,316187,155025,161162
"41190 부천시",826845,410678,416167,826093,410257,415836,825700,409982,415718
"41210 광명시",315745,155900,159845,314413,155249,159164,312774,154425,158349
"41220 평택시",520649,268331,252318,522111,269109,253002,523881,270183,253698
"41250 동두천시",94191,47015,47176,94097,46946,47151,94143,46951,47192
"41270 안산시",653575,335033,318542,654047,335253,318794,654450,335477,318973
"41271 상록구",348512,177678,170834,349230,178049,171181,349514,178205,171309
"41273 단원구",305063,157355,147708,304817,157204,147613,304936,157272,147664
"41280 고양시",1074853,526681,548172,1076179,527304,548875,1076996,527663,549333
"41281 덕양구",472467,233744,238723,473322,234171,239151,473812,234384,239428
"41285 일산동구",299276,145716,153560,299302,145689,153613,299323,145711,153612
"41287 일산서구",303110,147221,155889,303555,147444,156111,303861,147568,156293
"41290 과천시",59687,29341,30346,60790,29872,30918,61309,30125,31184
"41310 구리시",199018,98816,100202,198883,98734,100149,198461,98503,99958
"41360 남양주시",706069,351837,354232,706444,351990,354454,707485,352439,355046
"41370 오산시",227550,117610,109940,227749,117796,109953,228111,117949,110162
"41390 시흥시",478464,250312,228152,479368,250780,228588,481430,251904,229526
"41410 군포시",275954,137034,138920,275902,137001,138901,276039,137037,139002
