사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-06,2호선,14,을지로4가,11,0,926,988,"1,327","11,782","2,556","33,170","4,601","76,683","6,055","40,897","8,076","22,917","11,267","19,493","13,809","17,812","15,422","16,449","18,181","15,977","20,892","14,027","24,213","12,133","48,887","11,048","70,260","10,568","33,054","5,846","16,331","2,690","12,679","2,369","9,614","1,938","3,708","1,475",5,163,0,1,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,15,동대문역사문화공원(DDP),245,4,"7,836",797,"4,539","7,528","6,215","25,219","9,042","53,037","8,177","31,271","8,426","23,085","11,579","23,540","13,421","20,104","15,376","20,128","19,563","19,430","22,070","17,855","31,372","16,034","37,166","17,232","42,999","21,446","25,770","24,911","19,581","14,849","20,562","10,102","14,196","7,980","5,974","7,610",3,585,0,1,0,1,0,0,2020-07-03 13:43:21
2020-06,2호선,16,신당,30,0,"6,002","1,239","11,746","7,182","27,115","16,820","42,781","36,060","25,115","22,355","16,706","17,129","15,689","16,698","17,458","16,204","18,437","16,974","18,076","18,174","18,720","19,270","21,617","21,875","25,727","28,776","33,575","41,661","21,608","29,934","15,752","18,109","13,500","16,511","10,298","15,251","4,366","10,706",3,131,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,17,상왕십리,55,2,"5,781",701,"13,127","5,173","38,545","12,262","59,150","34,443","30,220","18,820","18,050","11,850","15,931","10,805","16,485","11,710","16,822","13,510","15,187","13,639","17,008","15,578","17,556","18,663","21,357","27,778","26,750","47,852","17,153","33,626","11,402","20,680","10,257","19,067","7,470","17,318","2,507","12,183",0,22,2,1,0,1,0,0,2020-07-03 13:43:21
2020-06,2호선,18,왕십리(성동구청),741,3,"7,189",794,"10,256","5,628","26,554","11,781","44,624","27,478","25,997","16,599","17,362","12,234","17,011","12,970","18,443","15,001","19,773","15,949","19,466","16,703","22,097","17,961","26,936","20,349","31,175","29,641","35,865","51,991","23,328","34,316","21,070","19,959","23,921","16,588","24,840","15,776","13,015","12,510",73,309,3,3,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,19,한양대,5,0,"1,400",322,"2,666","6,072","5,243","13,927","8,586","37,853","6,395","30,895","5,393","19,881","7,584","12,556","8,862","16,169","9,384","14,982","10,894","13,187","12,815","9,630","20,033","8,726","28,606","9,647","26,230","11,891","13,848","6,984","11,802","4,875","12,027","4,459","10,091","4,180","4,605","3,155",1,23,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,20,뚝섬,39,1,"4,001","1,828","8,557","15,707","20,506","30,817","28,345","123,155","16,476","71,116","12,582","27,916","12,588","20,819","15,037","21,627","17,712","23,657","19,881","21,707","23,249","22,794","30,429","24,868","48,028","28,837","108,179","39,690","52,740","26,051","31,210","14,131","27,707","12,366","21,512","10,759","6,640","7,895",3,98,0,1,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,21,성수,34,0,"5,701","3,653","9,815","28,861","24,405","65,713","31,428","253,984","23,503","110,507","18,606","39,836","19,505","30,909","21,593","31,778","26,803","36,484","29,583","33,477","34,353","34,652","46,419","34,753","90,177","38,723","202,130","51,144","81,980","33,590","47,259","18,045","45,518","14,540","34,912","13,586","10,261","12,357",7,"4,621",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,22,건대입구,319,20,"17,435","2,310","21,665","19,136","54,388","25,818","90,285","60,406","58,433","42,797","32,308","34,969","29,909","36,849","34,227","43,927","36,827","51,249","37,905","50,852","42,782","55,356","49,690","62,742","62,801","86,262","78,493","140,968","55,643","104,205","57,297","59,788","63,134","52,716","65,944","47,060","31,762","29,381",26,"4,245",0,2,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,23,구의(광진구청),23,2,"13,422","1,413","26,337","9,170","68,579","14,803","110,859","38,086","63,614","23,856","31,289","18,309","26,090","17,784","26,923","19,867","27,461","22,799","24,661","24,351","23,613","29,627","27,027","35,675","32,236","49,990","40,568","88,647","22,819","68,127","17,829","43,068","17,081","38,761","15,738","38,124","6,696","20,961",12,"1,786",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,24,강변(동서울터미널),22,0,"9,059","2,729","27,967","21,407","79,807","25,458","114,254","44,655","78,527","38,270","53,347","36,340","47,846","34,662","45,289","37,810","46,480","43,604","43,105","46,654","43,361","52,493","46,373","59,264","51,857","74,194","61,502","118,164","48,057","82,905","35,959","53,308","30,283","43,058","21,737","42,853","7,377","23,984",7,660,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,25,잠실나루,4,0,"2,843","1,641","12,087","10,957","39,648","22,626","45,677","36,954","26,834","25,342","19,651","16,793","18,930","14,496","18,096","16,852","17,520","17,645","18,711","15,740","19,853","15,657","25,109","16,642","30,629","22,079","30,783","39,022","15,928","29,802","11,703","17,079","8,530","15,755","6,209","15,161","2,339","9,933",3,62,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,26,잠실(송파구청),70,5,"11,533","5,494","47,215","33,679","111,690","75,873","159,480","160,401","114,681","126,058","69,743","72,224","65,387","69,977","69,965","72,374","77,867","77,385","77,222","78,824","84,961","82,022","98,115","95,522","142,260","128,081","192,350","204,771","119,002","142,906","107,292","83,722","83,407","75,902","70,713","73,469","22,988","43,985",12,794,0,2,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,27,잠실새내,16,0,"5,130",818,"16,784","8,206","56,359","15,835","70,283","25,320","40,519","27,841","24,404","21,381","23,251","21,529","24,419","23,303","25,637","27,056","23,981","27,781","25,549","29,598","29,524","35,204","31,290","48,327","36,755","81,692","27,607","58,992","23,587","32,416","24,322","26,872","23,326","26,033","10,903","14,108",8,"1,754",1,1,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,28,종합운동장,8,1,"1,781","1,093","5,989","6,782","17,404","13,245","22,520","20,557","15,982","10,953","9,469","6,589","7,821","6,098","8,331","7,086","9,499","8,299","7,997","8,067","9,206","9,075","12,140","10,419","13,258","14,974","16,097","23,261","8,985","16,950","5,702","10,147","5,824","9,645","4,850","10,094","1,697","6,075",5,628,4,4,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,29,삼성(무역센터),140,1,"5,159","4,999","7,414","44,194","16,078","134,380","20,679","329,456","19,296","246,536","20,534","93,159","28,750","63,870","36,288","57,521","45,637","63,603","57,383","55,370","72,093","47,836","90,339","45,687","174,749","47,680","297,965","57,914","168,750","33,565","110,564","16,363","88,828","13,010","65,044","10,512","14,440","7,902",3,"4,063",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,30,선릉,120,0,"4,920","6,473","10,591","40,413","20,905","116,791","29,755","290,819","28,998","218,634","30,854","92,202","40,761","58,492","47,033","49,397","57,678","57,465","65,938","50,739","82,397","44,462","116,221","43,496","173,821","47,810","296,554","55,635","146,653","35,842","88,699","20,244","85,531","16,413","71,540","15,076","22,014","9,614",12,310,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,31,역삼,43,3,"4,061","7,914","8,311","42,987","14,236","123,432","24,187","327,176","22,122","271,291","20,920","98,557","28,692","59,529","34,265","49,375","42,501","56,954","50,806","49,461","66,186","43,796","86,373","38,366","179,984","43,474","276,165","53,407","137,193","34,699","75,671","20,214","74,887","15,012","54,932","12,464","17,490","8,768",5,68,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,32,강남,140,5,"10,062","12,442","18,970","54,694","38,695","157,823","60,345","332,553","47,662","332,098","44,302","148,127","62,109","110,309","78,324","103,061","99,500","125,863","105,289","108,640","128,249","100,565","147,858","99,144","227,132","125,975","359,795","181,940","216,982","120,228","163,462","54,055","188,304","40,832","188,154","32,913","61,848","23,040",25,119,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,33,교대(법원.검찰청),31,0,"2,592","7,617","12,462","27,466","25,901","58,891","35,310","150,764","26,925","139,348","24,770","67,400","30,206","52,541","33,280","48,314","40,820","55,590","48,315","51,044","55,137","47,171","59,022","45,595","92,663","54,615","149,844","72,744","69,410","46,086","51,284","24,276","57,303","20,186","52,626","18,231","17,650","11,998",4,122,2,2,0,0,0,0,2020-07-03 13:43:21
