사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-06,경부선,259,성균관대,90,4,"8,612","1,756","26,775","5,136","62,909","9,078","50,021","19,261","21,569","12,497","15,286","9,043","13,743","10,121","14,961","10,548","14,356","14,016","12,972","13,008","13,466","15,356","15,761","18,498","20,560","29,616","21,640","50,438","12,579","48,630","10,778","27,231","10,016","23,306","9,037","20,489","3,958","13,916",249,"2,740",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,260,화서,377,2,"7,205","1,958","19,472","5,807","38,353","5,231","26,914","9,439","11,443","5,459","8,267","4,783","7,600","4,862","7,392","4,895","7,285","6,654","6,229","6,158","6,761","7,439","9,036","8,093","10,333","16,847","9,272","28,704","5,411","25,184","4,326","14,352","3,585","12,544","3,018","10,693",980,"7,019",61,"1,497",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,261,수원,"2,282",19,"21,218","6,782","34,518","27,922","71,921","52,165","63,638","71,734","38,388","60,762","33,318","47,561","37,544","48,516","42,384","58,151","43,571","56,671","43,857","56,144","52,180","56,338","66,885","61,611","76,981","81,433","87,407","105,769","70,406","87,718","70,873","49,403","52,713","41,665","45,934","33,953","16,853","22,401",435,"5,503",2,1,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,262,독산,675,4,"7,061","3,213","16,144","13,693","38,819","38,360","35,720","92,709","18,667","42,391","14,022","14,536","12,532","10,156","14,503","11,937","14,034","12,339","13,054","10,789","14,832","13,388","21,632","15,658","44,616","21,596","71,055","38,280","32,177","32,008","17,374","17,122","13,664","18,047","8,977","15,285","2,560","8,966",58,569,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,263,세류,384,1,"3,248",737,"7,209","2,650","14,013","4,094","9,103","4,423","4,524","2,600","3,399","2,555","3,201","2,648","3,275","2,545","3,226","2,654","2,911","2,765","3,199","3,027","3,915","4,101","5,163","5,856","5,352","9,220","3,405","8,949","2,836","5,673","2,390","5,325","1,455","4,257",496,"2,586",12,953,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,264,병점,"2,699",7,"7,455","3,419","22,382","10,861","46,245","19,848","34,867","23,932","20,042","12,726","15,749","9,976","15,844","11,228","16,875","11,946","15,137","13,399","14,351","13,712","16,312","15,032","19,497","19,966","28,678","26,434","31,856","39,439","16,731","39,692","12,308","25,430","10,474","22,166","7,830","18,828","2,361","12,630",19,"6,525",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,265,세마,216,2,"2,011",860,"4,877","1,827","8,393","3,416","6,890","5,915","4,965","1,955","3,314","1,610","2,991","1,932","2,836","1,781","3,042","2,194","2,729","2,386","2,824","1,754","3,883","3,351","4,705","4,397","5,660","6,695","2,549","6,693","1,715","4,486","1,931","3,831",810,"3,437",336,"2,096",25,123,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,266,오산대,138,0,"2,139",674,"5,447","2,103","9,121","3,652","6,173","8,762","4,323","4,090","3,208","3,684","3,296","3,174","3,689","2,959","4,308","4,010","4,127","3,386","4,339","2,255","5,987","3,569","6,670","5,197","7,489","8,708","3,707","6,715","2,940","4,384","2,829","4,039","1,792","3,110",917,"2,237",48,97,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,267,오산,328,0,"5,841","1,348","13,729","7,963","19,523","21,635","18,418","18,503","13,265","13,070","11,572","8,992","12,012","8,275","13,517","10,294","12,359","11,062","12,095","10,927","12,898","13,230","16,364","14,419","22,246","18,321","24,201","25,210","13,733","19,821","12,099","16,300","8,559","12,557","5,460","9,539","1,954","6,062",59,421,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,268,진위,8,0,699,306,"1,455","2,409","2,480","6,479","2,281","6,813","1,584","1,192","1,255",948,"1,307","1,042","1,569",836,"1,273","1,074","1,352",947,"1,653",990,"2,490","1,267","5,284","1,548","7,888","2,258","3,008","1,993","1,765","1,144","1,200","1,512",556,"1,318",170,652,9,40,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,269,송탄,75,2,"5,806",784,"7,467","2,991","12,322","5,089","8,499","7,511","6,547","3,911","5,694","3,090","5,804","3,979","6,104","4,442","6,180","4,194","5,163","4,845","5,821","5,622","7,527","6,202","7,990","9,021","9,276","9,626","5,070","11,120","3,939","7,173","3,456","7,952","2,027","7,160",814,"4,100",50,457,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,270,서정리,68,0,"3,021","6,182","7,785","7,381","11,257","11,242","10,205","17,904","7,099","9,585","6,959","6,887","7,612","5,901","9,565","8,367","8,261","8,050","8,605","6,241","10,894","6,202","15,722","10,095","20,553","11,089","19,055","11,663","10,143","13,032","7,395","8,076","4,748","7,793","2,760","7,179",932,"5,049",18,641,1,1,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,271,지제,3,0,875,"1,569","2,447","5,407","5,789","8,410","4,335","5,315","2,547","2,427","2,255","1,600","2,211","2,215","3,118","2,332","1,991","1,824","2,427","1,924","3,839","2,679","4,628","2,943","8,138","2,988","7,523","5,187","4,723","4,098","3,041","2,847","2,918","2,553","2,014","2,573",752,"1,587",0,111,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,272,평택,155,4,"7,231","2,842","13,846","8,697","24,005","15,666","21,492","20,090","16,976","16,681","15,515","12,999","14,852","15,688","15,987","17,300","16,389","17,345","16,247","18,118","17,299","18,662","22,360","23,084","27,212","26,593","26,278","29,888","19,051","23,523","18,427","17,633","13,560","14,314","9,722","11,116","4,593","7,301",29,"1,588",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,273,성환,61,1,"1,925",779,"2,757","2,010","5,589","10,441","5,379","9,840","4,482","4,326","4,307","3,904","4,511","4,052","4,594","5,042","5,447","4,475","5,301","4,479","5,648","4,414","7,463","5,012","11,743","5,807","10,125","6,729","4,703","5,549","4,395","4,287","2,650","4,604","1,370","3,801",723,"2,949",41,747,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,274,직산,79,10,491,426,"1,133",809,"1,817","2,074","1,060","2,940","1,069",834,998,829,879,830,943,857,884,930,952,678,"1,084",713,"1,005","1,025","2,028","1,195","2,501","1,340",974,"1,435",868,741,620,941,354,670,162,673,16,144,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,275,두정,"1,093",1,"3,989",727,"8,015","2,504","12,049","6,405","9,156","7,686","6,195","7,022","5,931","4,036","5,922","5,642","5,798","6,212","6,343","7,262","6,531","6,256","6,815","6,004","7,904","7,949","10,056","9,563","9,754","13,645","6,228","9,389","5,342","9,268","4,627","6,923","3,836","6,222","1,693","5,202",35,"1,267",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,276,천안,"1,570",10,"2,791",674,"4,882","3,588","9,003","5,098","7,544","8,937","7,456","9,423","7,420","8,554","8,820","9,706","7,868","9,356","8,581","10,868","9,762","8,117","10,695","11,631","11,574","9,215","11,426","11,053","11,759","12,646","8,478","9,474","6,497","7,901","5,587","4,113","3,248","4,267","1,377","2,538",5,"2,055",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,277,당정,18,0,"3,492","1,054","10,638","3,145","25,084","8,064","20,872","16,190","10,059","4,906","6,913","3,645","6,835","3,766","6,577","4,306","6,204","4,814","5,807","4,851","5,746","6,114","7,239","7,356","10,901","11,154","14,789","17,792","6,250","18,277","4,958","11,568","3,724","9,761","2,981","8,722","1,212","6,820",91,"1,280",0,1,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,278,서동탄,3,0,"1,334",7,"4,925",666,"10,908","1,716","4,289","1,677","1,896",837,"1,656",749,"1,604",916,"1,361","1,076","1,357",981,"1,218","1,189","1,603","1,570","1,671","1,693","1,879","2,819","2,408","4,049","1,207","5,880",939,"2,932",643,"1,861",480,"2,310",134,"1,515",3,"1,144",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경부선,279,광명,0,0,27,"2,375","2,772","3,053","13,530","3,769","9,720","3,340","5,491","2,678",971,"2,417","3,203","1,583","4,026","2,264","2,944","2,026","2,693","4,342","3,181","2,605","8,774","3,005","1,645","4,533","6,675","10,554","6,513","6,967","1,302","3,649","4,208","2,262","1,672","4,163",388,45,0,0,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,293,개봉,"1,298",13,"18,331","6,119","36,664","12,036","89,988","15,396","82,907","24,536","46,095","18,004","29,769","14,057","25,596","16,367","26,758","19,892","24,893","19,467","21,775","22,789","21,418","27,234","24,964","34,083","28,432","52,576","29,558","90,766","17,812","68,319","13,564","40,231","11,808","35,394","8,351","30,810","3,805","18,077",167,"3,120",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,294,오류동,636,6,"11,885","2,283","18,363","5,446","50,687","6,082","48,680","11,053","24,698","9,498","16,596","9,155","13,879","8,856","15,810","9,993","14,049","10,765","12,366","12,045","11,868","14,698","13,715","16,468","14,813","23,700","14,640","44,993","8,858","36,015","6,941","21,817","5,387","19,267","4,793","17,411","1,799","10,589",130,"2,079",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,295,역곡,977,19,"27,561","3,917","44,631","10,576","122,096","13,444","114,285","27,139","56,444","21,822","34,280","19,483","30,132","21,908","31,027","23,320","29,940","24,730","25,455","26,494","24,979","29,920","29,537","41,664","32,721","60,690","32,212","107,920","20,538","97,521","17,582","52,876","15,477","45,985","13,686","42,110","5,930","26,744",412,"3,615",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,296,부천,"2,805",19,"35,119","5,293","41,779","12,967","105,469","19,360","104,722","42,088","55,867","37,519","38,682","32,517","38,173","32,211","40,051","37,754","39,984","40,465","37,560","43,040","39,802","44,012","44,957","51,665","50,218","73,545","54,394","116,625","36,984","105,410","31,141","55,273","30,641","48,872","26,451","39,807","11,568","29,894",988,"5,130",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,297,송내,"1,445",19,"15,933","8,610","39,533","16,637","112,187","31,537","89,170","76,878","44,869","40,400","30,386","20,965","29,145","19,214","32,893","21,266","28,073","24,008","25,636","23,132","27,159","26,012","32,137","33,347","44,304","49,806","70,277","89,398","31,047","86,130","23,050","45,931","19,108","39,954","16,060","35,524","7,322","22,837",982,"5,057",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,298,부평,"7,212",48,"22,013","5,236","34,765","11,701","85,027","19,866","76,828","32,673","40,703","37,302","33,298","30,080","32,358","33,166","35,052","37,499","35,347","44,101","35,171","44,731","37,958","47,993","44,182","55,160","52,202","70,999","50,484","117,052","38,231","93,484","37,117","53,488","36,886","42,782","31,916","36,272","15,876","24,446","2,629","7,374",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,299,백운,124,3,"7,702","1,844","13,953","2,926","29,266","4,713","26,155","10,751","13,566","6,695","10,206","5,087","9,441","5,988","9,182","6,717","8,651","6,981","7,653","7,428","7,446","9,349","8,573","10,961","10,233","15,129","10,689","23,953","5,260","22,251","4,056","13,770","3,471","11,560","2,405","10,700","1,210","7,685",145,"2,057",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,300,동암,690,8,"20,439","5,473","29,899","9,751","56,898","14,080","52,452","16,644","29,279","12,646","20,355","11,982","18,570","13,673","18,970","13,867","18,577","15,291","16,473","15,828","16,120","20,882","19,571","23,422","23,182","35,064","22,489","52,172","14,448","48,727","11,101","31,873","10,143","26,619","7,612","23,716","4,115","16,095",388,"4,032",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,301,주안,"1,122",13,"14,218","4,041","25,455","8,892","65,712","19,262","52,128","28,552","30,404","21,648","22,602","14,659","22,436","14,468","24,634","18,072","24,287","16,985","22,261","19,111","23,654","19,833","26,925","24,991","34,684","35,073","37,126","53,217","21,791","56,890","18,760","31,507","17,115","26,343","14,409","24,753","6,445","17,573",580,"5,004",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,302,제물포,961,6,"7,005","1,869","13,511","5,585","36,307","14,283","29,979","26,686","15,667","13,456","12,258","8,781","12,347","7,448","12,831","9,393","13,056","10,319","11,832","9,325","14,128","9,789","18,516","13,151","19,764","17,954","21,833","25,949","10,496","24,685","7,346","15,361","5,521","13,697","3,837","12,232","1,801","9,733",92,"2,944",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,303,동인천,"1,842",2,"7,896","3,304","16,078","11,187","40,791","21,902","30,879","33,449","19,317","14,745","15,849","15,099","17,480","16,721","18,039","15,937","18,663","17,478","18,467","15,826","20,603","16,743","25,983","19,651","31,347","22,456","35,862","31,703","17,904","34,027","13,124","19,428","10,242","15,228","6,702","14,641","2,595","10,788",10,"3,499",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,304,인천,275,3,"1,262",793,"2,515","3,161","5,230","4,837","4,567","6,375","2,740","2,581","2,526","3,413","3,085","4,780","4,261","4,991","4,720","4,960","5,440","4,899","6,104","4,111","7,891","3,604","9,478","3,264","9,028","3,091","4,364","2,409","3,661","1,725","2,655","1,415","1,341","1,237",533,877,7,858,1,16,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,305,구일,287,28,"3,920","1,679","9,861","3,370","27,600","7,493","24,210","10,590","11,452","6,277","8,072","4,279","7,348","4,365","7,508","5,582","6,997","6,290","6,318","6,274","7,533","7,441","8,708","8,657","9,148","12,977","10,794","26,819","5,352","21,481","4,064","11,229","3,700","9,865","2,977","8,395","1,203","5,151",40,"1,146",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,306,소사,"1,357",106,"16,887","3,061","16,183","5,644","35,554","7,758","31,938","11,573","18,775","8,804","14,342","8,499","12,176","9,090","12,064","9,827","11,413","10,206","10,934","10,345","10,642","10,918","11,617","14,268","13,822","19,917","13,378","29,492","7,689","26,678","5,704","15,247","4,827","15,031","3,565","13,138","1,594","9,341",146,"2,058",1,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,307,부개,"1,930",31,"9,296","2,933","15,853","4,181","37,717","5,767","29,602","10,197","15,479","6,369","11,367","5,257","10,385","6,057","9,965","7,048","9,394","7,964","8,695","8,316","8,302","9,963","10,487","12,706","10,987","15,861","10,486","28,995","6,341","25,303","4,491","14,475","3,681","13,201","2,967","10,980","1,462","8,285",234,"2,280",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,308,간석,393,18,"5,687","1,140","11,303","2,045","24,728","3,740","18,830","8,300","10,290","4,895","7,258","4,110","7,056","4,964","6,633","5,300","6,637","5,849","5,995","5,871","6,735","6,722","7,486","8,339","7,805","12,006","8,013","17,241","4,575","18,773","3,785","10,161","3,540","8,672","2,732","7,689","1,482","5,780",199,"1,783",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,309,도원,638,9,"2,442","1,006","3,288","1,898","6,446","5,059","5,784","23,305","4,150","3,745","3,713","3,431","4,190","3,288","3,710","3,296","4,638","3,690","3,696","3,613","8,204","3,873","12,929","4,423","6,858","4,735","7,556","5,796","3,140","5,276","2,286","3,273","1,737","3,034",938,"2,499",341,"2,130",14,"1,055",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,310,온수(성공회대입구),256,1,"5,736","1,414","9,177","3,894","22,752","9,893","21,747","12,293","12,124","5,379","9,424","5,470","8,478","5,265","8,762","6,431","8,485","6,567","7,661","6,989","8,725","7,428","11,813","9,795","11,266","13,412","11,175","22,547","5,406","18,832","4,489","10,957","4,129","9,686","2,948","9,063","1,636","5,557",176,"1,098",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,311,중동,830,3,"10,648","1,610","16,956","4,839","42,068","6,031","32,510","12,044","16,789","7,683","11,156","6,794","10,837","6,674","10,855","8,069","10,174","7,933","8,579","8,831","8,960","10,108","10,555","12,789","11,680","18,203","12,600","28,502","6,646","28,721","5,265","15,585","4,471","13,715","3,072","12,634","1,356","7,620",172,"2,902",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경인선,312,도화,412,4,"3,755","1,050","6,253","2,951","14,769","3,836","11,746","6,190","6,649","3,158","5,133","2,892","4,508","2,984","4,368","3,668","4,372","3,579","4,250","3,870","4,269","4,176","5,797","6,007","6,158","6,280","5,569","9,282","2,860","8,859","2,006","5,385","1,504","4,512",960,"3,686",629,"3,269",29,"1,451",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,128,이촌(국립중앙박물관),68,2,"1,286",514,"3,429","2,045","7,627","4,509","9,092","7,591","6,498","5,024","4,952","3,102","4,541","2,860","4,829","3,114","5,113","3,728","4,666","3,364","5,608","4,045","6,974","4,508","9,356","5,258","9,099","7,800","5,237","6,330","4,500","4,003","4,649","3,296","3,399","3,584","1,159","2,434",72,743,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,129,서빙고,56,0,871,551,"1,827","3,032","2,626","4,386","3,115","8,016","2,706","3,162","2,002","1,620","2,027","1,484","2,085","1,390","2,391","1,937","2,365","1,572","2,689","1,912","3,881","2,171","5,900","2,418","6,626","3,162","2,792","2,723","1,837","1,504","1,646","1,431","1,109","1,440",392,828,29,275,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,130,한남,210,2,"2,073",541,"2,615","4,715","4,660","10,404","6,164","14,143","4,580","11,151","4,412","5,668","4,423","4,324","4,530","4,437","4,437","5,269","5,206","3,891","6,668","4,580","7,628","4,858","13,020","6,074","15,763","7,714","7,612","5,567","5,195","3,325","5,207","3,508","3,956","2,328","1,676","1,515",73,681,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,131,옥수,0,0,1,9,5,79,15,22,56,226,54,15,10,132,14,128,9,67,26,16,30,38,17,19,309,11,352,30,18,32,349,21,18,12,22,10,43,6,22,2,0,0,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,132,응봉,156,0,"1,291",300,"2,906","1,388","6,663","1,851","7,163","2,314","4,008","1,301","2,524","1,250","2,272","1,291","2,563","1,487","2,336","1,639","2,249","1,972","2,049","2,155","2,649","2,796","2,748","3,439","2,646","4,859","1,470","5,055","1,155","2,601","1,020","2,099",648,"1,916",268,"1,193",16,425,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,133,왕십리(성동구청),807,5,"5,623",879,"9,120","4,967","25,811","11,292","40,615","20,513","24,765","14,111","13,926","13,750","13,214","15,885","15,043","18,178","16,686","20,035","16,908","20,454","19,089","21,895","21,319","26,280","26,186","36,958","27,334","62,697","20,840","48,615","19,909","26,873","22,533","20,439","22,420","20,680","9,797","11,921",462,"5,118",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,134,청량리(서울시립대입구),"1,270",6,"6,760","1,142","8,385","10,495","28,540","13,086","29,112","19,674","24,380","26,790","22,776","25,930","18,277","27,921","23,794","24,526","23,567","23,270","25,726","26,988","27,137","28,509","26,235","28,629","30,166","30,948","27,310","43,587","23,051","34,996","22,225","17,508","9,836","14,549","8,922","12,899","3,240","7,226",89,"2,899",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,136,외대앞,521,9,"5,330","1,315","7,990","3,493","18,165","3,783","21,875","10,988","13,256","9,483","10,141","7,868","10,073","7,702","10,323","8,546","10,429","9,156","10,574","9,810","11,098","10,926","12,577","12,233","14,292","15,058","12,325","21,522","8,350","18,726","6,756","11,636","6,848","11,452","5,132","10,553","2,535","7,566",86,"1,249",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,137,신이문,"1,492",33,"9,069","1,293","14,844","2,426","38,543","4,360","39,849","7,825","21,061","4,592","13,912","5,717","11,403","6,491","11,117","7,127","10,493","8,209","8,926","9,001","9,011","11,835","8,759","14,680","8,716","19,347","9,182","31,223","6,554","25,672","3,901","16,247","3,155","13,280","2,269","13,187",969,"7,762",38,"1,258",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,138,석계,"1,238",5,"6,671","2,189","12,401","4,548","26,511","5,712","30,398","9,284","19,597","6,526","14,528","7,047","12,433","8,646","11,772","9,728","11,353","10,361","10,859","11,305","10,703","15,139","10,937","18,150","12,312","23,083","11,372","39,428","8,201","29,980","6,635","18,836","6,002","16,701","5,509","13,899","2,449","9,030",117,"1,583",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,139,광운대,"2,225",15,"6,421","1,370","13,572","2,947","33,994","6,010","30,550","12,345","15,690","9,432","11,011","7,837","9,917","9,049","10,924","8,747","10,689","9,626","10,384","10,237","10,482","10,719","11,100","12,661","12,458","16,506","10,703","25,405","6,755","23,278","5,566","13,658","5,233","11,331","4,481","10,243","2,172","9,578",160,"3,847",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,140,월계,711,2,"5,695","1,222","8,951","2,367","23,294","8,587","20,605","8,730","12,976","6,039","10,161","5,260","8,602","5,761","8,652","6,780","8,605","7,688","8,069","6,518","8,641","8,234","10,917","10,444","9,080","11,860","9,500","18,774","5,343","16,933","4,146","10,226","3,431","8,358","2,815","7,589",988,"5,371",45,"1,197",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,141,녹천,934,8,"4,783",662,"7,686","1,631","21,007","3,654","17,195","5,058","10,597","2,437","7,372","2,920","6,264","3,301","6,924","3,957","5,734","4,009","5,045","4,075","5,190","5,285","6,074","6,751","5,710","8,180","5,196","13,388","3,408","13,159","2,147","7,675","1,913","6,806","1,296","5,423",467,"4,432",64,810,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,142,창동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,353,방학,751,6,"11,943","1,541","15,041","6,034","30,557","9,177","28,429","18,618","17,863","10,236","14,543","9,961","12,607","9,162","13,237","10,111","12,087","9,966","11,638","12,098","11,781","14,550","13,057","17,225","13,972","18,579","17,314","28,396","9,685","26,196","7,023","14,709","5,741","12,564","4,331","10,052","1,486","6,534",143,"2,303",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,354,도봉,284,6,"7,236","1,269","9,837","3,079","19,479","4,161","18,657","9,927","12,157","7,393","9,527","7,641","8,950","6,016","7,754","6,756","8,230","6,958","7,973","7,512","7,944","8,924","7,917","10,245","8,903","11,204","10,098","16,241","4,904","14,588","3,361","8,891","2,638","7,820","1,864","6,205",814,"4,028",93,"1,656",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,355,도봉산,188,3,"6,619","1,037","9,574","2,690","23,302","5,011","21,531","8,571","13,212","12,475","10,853","17,021","10,565","11,541","12,349","12,596","14,751","9,629","16,653","8,937","17,977","8,413","20,285","8,337","19,027","8,225","15,701","10,247","10,187","8,546","6,409","4,857","3,940","4,585","2,517","4,209",846,"2,978",80,"1,466",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,356,망월사,436,2,"6,960","1,146","12,617","3,301","24,824","4,083","24,022","14,525","14,433","13,963","11,808","9,392","11,886","7,443","11,719","10,260","10,825","10,607","11,129","10,558","11,379","10,476","11,939","12,759","13,373","15,991","11,645","22,757","6,246","22,709","4,929","13,711","4,310","11,093","3,623","9,699","1,268","6,254",130,"2,330",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,357,회룡,"1,122",34,"13,795","2,150","26,559","6,001","57,007","7,644","45,055","11,087","25,802","10,447","19,239","10,210","16,991","10,632","16,620","13,365","15,664","13,321","13,731","14,827","13,095","16,146","13,137","21,482","13,719","28,374","12,573","40,661","8,058","43,166","6,343","23,441","5,633","20,077","4,102","15,926","1,588","10,611",136,"3,709",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,358,의정부,"2,620",10,"10,767","2,436","21,037","8,777","45,467","14,265","39,937","33,995","24,403","33,289","20,362","25,302","21,979","25,177","24,662","27,352","25,450","31,974","26,009","29,184","27,930","28,578","31,640","30,598","37,131","37,849","40,550","52,346","26,672","49,607","27,528","28,187","19,917","24,696","17,337","18,581","6,548","13,486",407,"5,668",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,359,가능,546,21,"8,079","1,995","12,081","4,556","23,815","4,785","21,432","15,070","12,651","7,396","9,991","5,336","9,019","5,766","9,034","6,574","8,004","7,090","7,598","6,462","7,656","8,095","9,024","9,341","10,431","12,490","9,171","18,807","5,969","18,981","4,459","11,166","3,736","8,706","3,039","7,828","1,184","6,268",86,"1,359",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,360,녹양,281,1,"5,193",897,"8,890","2,473","17,949","3,899","15,316","8,530","8,320","4,600","6,874","3,179","5,927","3,847","6,011","4,122","5,774","4,289","5,130","4,171","5,116","5,820","5,663","7,169","6,927","8,811","7,599","12,813","4,191","13,882","3,075","8,923","2,659","6,629","1,725","6,297",745,"4,996",45,"1,389",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,361,양주,"1,481",31,"5,686","1,914","12,475","5,633","32,588","10,525","26,550","11,953","15,472","7,496","11,890","6,700","10,716","7,493","10,888","8,365","9,699","7,537","8,976","7,976","9,097","8,925","10,597","12,389","11,968","13,660","14,041","21,136","7,395","21,063","4,771","13,994","3,755","10,674","2,114","9,953",800,"6,782",42,"3,406",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,362,덕계,3,0,"2,242",495,"6,252","2,043","11,472","2,341","9,894","3,958","5,076","1,853","3,715","1,589","3,327","1,863","3,401","2,366","2,927","1,840","2,821","2,351","2,690","3,187","3,039","3,014","3,676","5,383","3,739","6,373","2,026","7,562","1,211","5,062",823,"3,688",639,"2,816",281,"2,603",10,784,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,363,덕정,0,0,"3,674","1,546","9,214","5,604","20,444","10,925","17,719","14,991","9,598","8,917","7,260","5,432","8,096","6,253","8,896","7,945","8,706","7,176","7,604","5,338","8,426","6,671","10,148","7,544","13,041","12,967","13,956","13,698","6,463","14,488","4,684","9,410","3,805","9,291","2,448","6,473","1,310","5,139",178,"1,384",0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,경원선,364,지행,35,1,"5,065",797,"10,313","2,798","21,439","5,046","20,494","12,881","12,464","6,914","9,384","5,250","9,159","6,452","9,233","8,299","9,373","8,503","7,848","7,506","7,702","8,997","8,592","10,427","9,904","17,227","12,264","16,804","6,975","18,837","6,621","13,195","5,592","9,737","4,126","9,113","2,321","6,540",248,"2,698",0,0,0,0,0,0,2020-07-03 13:43:21
