"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상"
"서울특별시 용산구 이태원제2동(1117066000)","9,283","9,283","449","516","1,378","1,682","1,415","1,284","1,181","861","421","82","14"
"서울특별시 용산구 한남동(1117068500)","21,183","21,183","1,219","1,157","2,798","4,089","3,415","3,258","2,717","1,643","696","158","33"
"서울특별시 용산구 서빙고동(1117069000)","13,349","13,349","811","1,535","1,812","1,530","2,538","2,218","1,395","815","601","88","6"
"서울특별시 용산구 보광동(1117070000)","14,293","14,293","469","809","2,263","2,158","2,120","2,539","1,990","1,263","564","96","22"
"서울특별시 성동구 (1120000000)","297,397","297,397","21,109","20,801","45,629","49,882","46,019","47,891","35,811","20,572","8,295","1,147","241"
"서울특별시 성동구 왕십리제2동(1120052000)","17,288","17,288","1,241","1,248","2,544","2,984","2,695","2,794","2,078","1,182","439","63","20"
"서울특별시 성동구 왕십리도선동(1120053500)","27,304","27,304","2,441","1,652","4,435","4,841","4,069","4,472","2,954","1,628","684","106","22"
"서울특별시 성동구 마장동(1120054000)","23,094","23,094","1,252","1,730","4,459","3,256","3,141","3,786","2,933","1,737","697","85","18"
"서울특별시 성동구 사근동(1120055000)","11,901","11,901","436","877","4,492","1,634","1,141","1,294","938","756","286","36","11"
"서울특별시 성동구 행당제1동(1120056000)","14,473","14,473","1,021","1,044","2,327","2,379","2,219","2,358","1,676","983","389","69","8"
"서울특별시 성동구 행당제2동(1120057000)","24,349","24,349","1,894","2,210","3,044","3,782","4,213","3,944","2,706","1,741","696","98","21"
"서울특별시 성동구 응봉동(1120058000)","15,887","15,887","1,209","1,732","1,777","2,287","2,989","2,438","1,688","1,196","494","69","8"
"서울특별시 성동구 금호1가동(1120059000)","15,830","15,830","1,347","1,107","1,853","2,841","2,613","2,391","2,035","1,097","481","53","12"
"서울특별시 성동구 금호2.3가동(1120061500)","23,743","23,743","1,773","1,557","3,028","4,268","3,815","3,729","2,958","1,766","715","107","27"
"서울특별시 성동구 금호4가동(1120062000)","14,879","14,879","1,410","987","1,557","2,805","2,631","2,153","1,777","1,068","432","50","9"
"서울특별시 성동구 옥수동(1120064500)","26,860","26,860","2,685","1,697","3,057","5,244","4,473","3,969","3,108","1,737","732","131","27"
"서울특별시 성동구 성수1가제1동(1120065000)","16,714","16,714","1,059","1,181","2,579","2,961","2,463","3,043","2,069","927","379","45","8"
"서울특별시 성동구 성수1가제2동(1120066000)","13,824","13,824","800","972","2,214","2,545","2,164","2,136","1,690","890","353","46","14"
"서울특별시 성동구 성수2가제1동(1120067000)","16,944","16,944","896","955","2,419","2,662","2,422","3,231","2,562","1,244","470","69","14"
"서울특별시 성동구 성수2가제3동(1120069000)","11,312","11,312","608","546","2,062","2,008","1,518","1,863","1,478","840","339","40","10"
