"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상"
"부산광역시 수영구 남천제2동(2650067000)","12,470","12,470","889","1,220","1,444","1,286","2,021","2,198","1,876","1,059","389","79","9"
"부산광역시 수영구 수영동(2650073000)","15,129","15,129","664","693","1,821","1,852","1,959","2,404","2,933","1,951","762","84","6"
"부산광역시 수영구 망미제1동(2650074000)","28,141","28,141","1,751","1,991","3,200","3,566","3,779","4,498","5,023","2,939","1,216","171","7"
"부산광역시 수영구 망미제2동(2650075000)","11,806","11,806","742","906","1,295","1,516","1,781","1,904","1,982","1,227","399","50","4"
"부산광역시 수영구 광안제1동(2650076000)","26,323","26,323","1,400","1,692","5,010","4,143","3,750","3,621","3,613","2,182","795","110","7"
"부산광역시 수영구 광안제2동(2650077000)","18,879","18,879","1,192","1,278","2,853","2,745","2,924","2,771","2,621","1,757","663","68","7"
"부산광역시 수영구 광안제3동(2650078000)","10,360","10,360","358","487","1,913","1,563","1,338","1,499","1,697","1,064","390","45","6"
"부산광역시 수영구 광안제4동(2650079000)","10,997","10,997","524","729","1,479","1,554","1,662","1,748","1,652","1,095","495","53","6"
"부산광역시 수영구 민락동(2650080000)","28,777","28,777","2,275","1,863","3,355","4,273","4,386","4,752","4,512","2,414","827","115","5"
"부산광역시 사상구 (2653000000)","215,709","215,709","13,170","15,660","29,474","26,182","30,142","42,174","35,759","16,758","5,677","645","68"
"부산광역시 사상구 삼락동(2653058000)","6,145","6,145","231","331","677","608","767","1,364","1,234","686","219","23","5"
"부산광역시 사상구 모라제1동(2653059100)","28,568","28,568","1,672","2,057","3,755","3,405","3,850","5,708","5,023","2,260","747","75","16"
"부산광역시 사상구 모라제3동(2653059300)","11,284","11,284","330","537","941","880","1,366","2,261","2,490","1,679","724","74","2"
"부산광역시 사상구 덕포제1동(2653060000)","9,131","9,131","551","682","1,093","1,065","1,283","1,874","1,468","799","279","33","4"
"부산광역시 사상구 덕포제2동(2653061000)","13,403","13,403","790","959","1,796","1,542","1,731","2,845","2,366","1,014","314","44","2"
"부산광역시 사상구 괘법동(2653062000)","21,845","21,845","1,129","1,075","3,946","3,155","2,736","4,313","3,520","1,492","418","47","14"
"부산광역시 사상구 감전동(2653064500)","14,026","14,026","567","764","1,764","1,646","1,862","2,956","2,656","1,340","409","54","8"
"부산광역시 사상구 주례제1동(2653065000)","15,836","15,836","981","1,192","2,218","1,892","2,078","3,273","2,645","1,136","373","46","2"
"부산광역시 사상구 주례제2동(2653066000)","23,694","23,694","1,591","1,885","4,089","3,138","3,506","4,012","3,233","1,604","569","60","7"
"부산광역시 사상구 주례제3동(2653066100)","13,594","13,594","799","1,089","1,867","1,568","1,850","2,532","2,327","1,096","423","43","0"
"부산광역시 사상구 학장동(2653067000)","29,574","29,574","2,067","2,358","3,586","3,663","4,415","5,544","4,970","2,163","715","87","6"
"부산광역시 사상구 엄궁동(2653068000)","28,609","28,609","2,462","2,731","3,742","3,620","4,698","5,492","3,827","1,489","487","59","2"
"부산광역시 기장군 (2671000000)","170,139","170,139","19,232","17,039","16,407","25,069","31,237","23,188","20,280","11,969","4,962","713","43"
"부산광역시 기장군 기장읍(2671025000)","53,798","53,798","3,440","4,665","6,371","5,835","8,594","9,519","7,958","4,904","2,177","314","21"
"부산광역시 기장군 장안읍(2671025300)","8,749","8,749","432","460","1,007","1,079","987","1,605","1,613","958","514","84","10"
"부산광역시 기장군 정관읍(2671025600)","82,192","82,192","12,799","10,366","6,647","14,284","18,079","8,192","6,696","3,703","1,251","169","6"
"부산광역시 기장군 일광면(2671031000)","17,245","17,245","2,119","1,121","1,607","3,140","2,552","2,412","2,305","1,335","561","89","4"
"부산광역시 기장군 철마면(2671033000)","8,155","8,155","442","427","775","731","1,025","1,460","1,708","1,069","459","57","2"
"대구광역시  (2700000000)","2,427,954","2,427,954","183,631","230,453","322,265","300,366","387,880","427,621","316,981","173,456","75,574","9,024","703"
"대구광역시 중구 (2711000000)","76,984","76,984","5,342","5,097","11,866","11,041","10,813","11,432","10,126","7,373","3,324","469","101"
"대구광역시 중구 동인동(2711051700)","8,755","8,755","346","495","1,508","1,180","1,151","1,351","1,261","961","421","68","13"
"대구광역시 중구 삼덕동(2711054500)","6,733","6,733","503","380","1,845","1,243","884","711","574","374","182","30","7"
"대구광역시 중구 성내1동(2711056500)","5,033","5,033","169","240","1,400","769","565","635","571","441","193","43","7"
"대구광역시 중구 성내2동(2711057500)","4,604","4,604","134","197","838","535","498","758","796","566","226","41","15"
"대구광역시 중구 성내3동(2711058500)","5,218","5,218","570","235","654","1,058","697","736","659","409","167","28","5"
"대구광역시 중구 대신동(2711059500)","8,212","8,212","914","564","829","1,450","1,176","1,246","1,060","654","273","35","11"
"대구광역시 중구 남산1동(2711064000)","5,124","5,124","279","313","860","680","657","826","701","541","247","18","2"
"대구광역시 중구 남산2동(2711065000)","4,039","4,039","210","265","614","554","553","640","521","433","204","31","14"
"대구광역시 중구 남산3동(2711066000)","7,070","7,070","613","531","721","993","1,136","1,085","948","697","307","35","4"
"대구광역시 중구 남산4동(2711067000)","12,049","12,049","970","1,090","1,344","1,422","1,941","1,823","1,685","1,144","557","64","9"
"대구광역시 중구 대봉1동(2711068000)","7,643","7,643","556","623","996","941","1,175","1,206","945","743","395","55","8"
"대구광역시 중구 대봉2동(2711069000)","2,504","2,504","78","164","257","216","380","415","405","410","152","21","6"
"대구광역시 동구 (2714000000)","342,627","342,627","25,923","27,046","41,737","44,676","51,576","57,362","50,182","29,976","12,578","1,448","123"
"대구광역시 동구 신암1동(2714051000)","7,909","7,909","290","482","885","729","1,005","1,410","1,435","1,097","513","58","5"
"대구광역시 동구 신암2동(2714052000)","10,892","10,892","1,096","856","1,026","1,531","1,901","1,552","1,419","1,014","436","51","10"
"대구광역시 동구 신암3동(2714053000)","8,911","8,911","727","593","986","1,302","1,224","1,422","1,386","848","370","50","3"
"대구광역시 동구 신암4동(2714054000)","13,326","13,326","476","726","1,899","1,539","1,804","2,653","2,310","1,359","490","60","10"
"대구광역시 동구 신암5동(2714054100)","6,632","6,632","239","415","805","588","871","1,260","1,253","805","362","30","4"
"대구광역시 동구 신천1.2동(2714055500)","13,500","13,500","880","954","1,534","1,609","1,970","2,247","2,083","1,481","669","66","7"
"대구광역시 동구 신천3동(2714057000)","12,620","12,620","962","1,049","1,675","1,638","1,961","2,221","1,619","969","465","53","8"
"대구광역시 동구 신천4동(2714058000)","7,619","7,619","167","369","1,314","1,061","1,022","1,331","1,255","739","322","35","4"
"대구광역시 동구 효목1동(2714059000)","14,356","14,356","563","898","1,838","1,473","1,788","2,658","2,621","1,727","708","72","10"
"대구광역시 동구 효목2동(2714060000)","15,072","15,072","799","1,065","1,936","1,716","2,157","2,559","2,565","1,529","656","80","10"
"대구광역시 동구 도평동(2714061500)","4,217","4,217","202","273","618","458","514","753","694","468","218","19","0"
"대구광역시 동구 불로.봉무동(2714062000)","26,713","26,713","2,708","2,732","2,954","3,544","4,628","4,250","3,411","1,718","677","87","4"
"대구광역시 동구 지저동(2714064000)","10,254","10,254","409","601","1,344","1,032","1,255","2,091","1,931","1,120","424","42","5"
"대구광역시 동구 동촌동(2714065500)","16,206","16,206","908","960","2,204","1,973","2,089","3,082","2,712","1,568","634","74","2"
"대구광역시 동구 방촌동(2714067000)","18,538","18,538","934","1,382","2,424","1,836","2,381","3,633","3,181","1,845","827","89","6"
"대구광역시 동구 해안동(2714068500)","15,431","15,431","811","949","1,914","1,700","1,982","2,878","2,734","1,695","682","84","2"
"대구광역시 동구 안심1동(2714072000)","44,057","44,057","4,014","3,782","5,379","5,996","6,935","7,137","6,053","3,195","1,381","178","7"
"대구광역시 동구 안심2동(2714073000)","10,808","10,808","628","644","1,378","1,293","1,383","2,125","1,810","1,095","396","50","6"
"대구광역시 동구 안심3.4동(2714074500)","69,818","69,818","8,408","7,173","8,034","12,310","12,539","9,160","6,878","3,730","1,407","166","13"
"대구광역시 동구 공산동(2714076000)","15,748","15,748","702","1,143","1,590","1,348","2,167","2,940","2,832","1,974","941","104","7"
"대구광역시 서구 (2717000000)","172,802","172,802","7,941","11,362","22,023","17,999","23,512","34,955","30,371","17,108","6,681","750","100"
"대구광역시 서구 내당1동(2717051000)","8,807","8,807","357","546","1,353","989","1,097","1,730","1,536","828","335","26","10"
"대구광역시 서구 내당2.3동(2717052500)","10,360","10,360","350","563","1,309","992","1,357","2,048","1,941","1,249","496","48","7"
"대구광역시 서구 내당4동(2717054000)","17,180","17,180","788","1,307","2,479","2,008","2,307","3,230","2,836","1,542","608","73","2"
"대구광역시 서구 비산1동(2717055000)","9,934","9,934","324","648","1,176","903","1,372","2,149","1,768","1,116","419","51","8"
"대구광역시 서구 비산2.3동(2717056500)","9,794","9,794","315","517","1,069","830","1,196","1,968","1,870","1,383","564","64","18"
"대구광역시 서구 비산4동(2717058000)","10,154","10,154","394","640","1,327","1,001","1,347","2,057","1,864","1,040","432","41","11"
"대구광역시 서구 비산5동(2717059000)","6,531","6,531","212","373","690","632","824","1,321","1,282","822","347","27","1"
"대구광역시 서구 비산6동(2717060000)","7,872","7,872","220","509","1,035","711","1,051","1,696","1,453","818","342","30","7"
"대구광역시 서구 비산7동(2717061000)","11,083","11,083","389","608","1,357","1,043","1,491","2,485","2,042","1,207","421","36","4"
"대구광역시 서구 평리1동(2717062000)","8,054","8,054","300","511","1,037","749","1,070","1,684","1,457","859","344","37","6"
"대구광역시 서구 평리2동(2717063000)","8,258","8,258","656","598","936","998","1,252","1,519","1,305","712","251","30","1"
"대구광역시 서구 평리3동(2717064000)","10,294","10,294","356","648","1,315","1,027","1,389","2,269","1,874","994","371","48","3"
"대구광역시 서구 평리4동(2717065000)","18,405","18,405","1,387","1,256","2,344","2,402","2,622","3,526","2,859","1,392","528","85","4"
"대구광역시 서구 평리5동(2717066000)","1,979","1,979","93","122","241","198","268","411","377","198","59","6","6"
"대구광역시 서구 평리6동(2717066100)","5,413","5,413","168","346","650","506","704","1,194","1,079","518","227","21","0"
"대구광역시 서구 상중이동(2717067500)","20,721","20,721","1,351","1,735","2,717","2,279","3,060","4,030","3,379","1,519","547","92","12"
"대구광역시 서구 원대동(2717069500)","7,963","7,963","281","435","988","731","1,105","1,638","1,449","911","390","35","0"
"대구광역시 남구 (2720000000)","147,482","147,482","7,052","9,705","20,370","17,462","20,672","25,328","23,649","15,112","7,151","897","84"
"대구광역시 남구 이천동(2720051500)","12,547","12,547","846","1,060","1,260","1,350","2,052","1,971","1,755","1,390","735","120","8"
"대구광역시 남구 봉덕1동(2720053000)","9,258","9,258","403","533","1,125","1,159","1,369","1,664","1,472","925","548","53","7"
"대구광역시 남구 봉덕2동(2720054000)","10,921","10,921","692","897","1,120","1,141","1,512","1,830","1,853","1,151","621","98","6"
"대구광역시 남구 봉덕3동(2720055000)","17,304","17,304","886","1,410","2,068","1,943","2,615","2,964","2,758","1,671","881","97","11"
"대구광역시 남구 대명1동(2720056000)","11,629","11,629","559","790","1,750","1,446","1,613","2,053","1,808","1,100","434","73","3"
"대구광역시 남구 대명2동(2720057100)","11,541","11,541","417","699","2,086","1,415","1,496","1,874","1,718","1,214","553","63","6"
"대구광역시 남구 대명3동(2720058600)","11,167","11,167","388","656","1,511","1,172","1,538","2,053","1,955","1,277","540","67","10"
"대구광역시 남구 대명4동(2720059000)","11,286","11,286","487","645","1,669","1,220","1,417","2,078","2,015","1,211","490","46","8"
"대구광역시 남구 대명5동(2720060000)","8,218","8,218","299","468","1,579","973","1,028","1,336","1,231","853","403","43","5"
"대구광역시 남구 대명6동(2720061000)","9,712","9,712","573","641","1,402","1,372","1,425","1,574","1,416","851","403","51","4"
"대구광역시 남구 대명9동(2720064000)","15,990","15,990","824","941","2,408","2,176","2,331","2,730","2,358","1,492","634","85","11"
"대구광역시 남구 대명10동(2720065000)","9,410","9,410","353","518","1,394","1,159","1,205","1,639","1,623","991","473","53","2"
"대구광역시 남구 대명11동(2720066000)","8,499","8,499","325","447","998","936","1,071","1,562","1,687","986","436","48","3"
"대구광역시 북구 (2723000000)","438,608","438,608","34,805","44,367","61,048","54,527","73,327","77,610","51,864","27,865","11,799","1,310","86"
"대구광역시 북구 고성동(2723051000)","5,107","5,107","306","359","602","629","709","869","833","542","223","30","5"
"대구광역시 북구 칠성동(2723052600)","23,407","23,407","2,464","2,060","2,714","3,698","4,031","3,332","2,608","1,602","783","105","10"
"대구광역시 북구 침산1동(2723055000)","4,292","4,292","183","236","492","450","491","958","864","438","151","27","2"
"대구광역시 북구 침산2동(2723056000)","19,607","19,607","2,341","2,274","2,176","2,965","3,705","2,785","1,858","1,024","424","52","3"
"대구광역시 북구 침산3동(2723057000)","20,625","20,625","1,823","2,349","2,454","2,481","3,559","3,478","2,351","1,441","630","54","5"
"대구광역시 북구 산격1동(2723061000)","9,669","9,669","274","512","1,065","763","1,180","1,961","1,989","1,293","585","42","5"
"대구광역시 북구 산격2동(2723062000)","11,377","11,377","630","960","1,728","1,208","1,552","2,327","1,687","880","359","45","1"
"대구광역시 북구 산격3동(2723063000)","9,032","9,032","305","515","2,367","1,121","1,112","1,305","1,195","748","329","32","3"
"대구광역시 북구 산격4동(2723063100)","8,702","8,702","324","505","1,277","1,026","1,081","1,621","1,549","913","367","39","0"
"대구광역시 북구 대현동(2723064500)","18,741","18,741","1,325","1,193","2,819","2,304","2,718","3,006","2,699","1,785","773","103","16"
"대구광역시 북구 복현1동(2723067100)","7,549","7,549","198","395","2,186","1,007","840","1,217","989","499","201","16","1"
"대구광역시 북구 복현2동(2723067200)","27,709","27,709","2,119","3,000","3,998","3,379","4,522","5,020","3,394","1,502","674","94","7"
"대구광역시 북구 검단동(2723068000)","6,950","6,950","358","461","783","874","931","1,281","1,255","683","295","28","1"
"대구광역시 북구 무태조야동(2723069500)","33,131","33,131","3,191","3,824","3,614","4,320","6,594","5,408","3,646","1,848","619","66","1"
"대구광역시 북구 관문동(2723071500)","37,621","37,621","4,669","3,166","4,059","6,706","6,414","5,962","4,062","1,854","655","70","4"
"대구광역시 북구 태전1동(2723072500)","22,453","22,453","1,439","1,856","3,720","2,731","3,271","4,271","2,940","1,452","689","82","2"
"대구광역시 북구 태전2동(2723073500)","25,106","25,106","1,711","2,594","3,739","2,843","4,053","4,754","3,141","1,620","580","70","1"
"대구광역시 북구 구암동(2723074500)","36,863","36,863","2,856","5,246","5,382","3,627","7,130","7,096","3,122","1,591","721","92","0"
"대구광역시 북구 관음동(2723075000)","17,376","17,376","1,022","1,685","2,516","1,684","2,643","3,590","2,490","1,137","553","53","3"
"대구광역시 북구 읍내동(2723077000)","27,286","27,286","1,796","2,635","4,373","3,137","4,024","5,511","3,370","1,577","783","74","6"
"대구광역시 북구 동천동(2723078000)","29,435","29,435","2,481","4,608","4,181","3,002","6,284","5,271","1,868","1,140","562","37","1"
"대구광역시 북구 노원동(2723079000)","12,353","12,353","694","654","1,422","1,625","1,692","2,455","2,186","1,230","348","40","7"
"대구광역시 북구 국우동(2723080000)","24,217","24,217","2,296","3,280","3,381","2,947","4,791","4,132","1,768","1,066","495","59","2"
"대구광역시 수성구 (2726000000)","426,919","426,919","30,690","52,376","55,794","43,839","73,985","75,322","50,887","28,530","13,636","1,762","98"
"대구광역시 수성구 범어1동(2726051000)","16,592","16,592","1,399","2,184","2,061","1,600","2,986","2,921","1,725","1,123","532","56","5"
"대구광역시 수성구 범어2동(2726052000)","15,444","15,444","998","1,765","2,358","1,990","2,561","2,629","1,736","961","398","46","2"
"대구광역시 수성구 범어3동(2726053000)","16,503","16,503","1,980","2,041","2,099","2,191","3,271","2,574","1,250","717","326","46","8"
"대구광역시 수성구 범어4동(2726054000)","18,976","18,976","1,541","4,258","1,874","1,315","4,689","2,727","1,311","845","366","49","1"
"대구광역시 수성구 만촌1동(2726055000)","23,543","23,543","1,955","2,597","3,003","2,477","3,820","4,126","2,936","1,710","823","94","2"
"대구광역시 수성구 만촌2동(2726056000)","11,662","11,662","549","1,235","1,908","1,227","1,771","2,144","1,522","841","422","41","2"
"대구광역시 수성구 만촌3동(2726056100)","20,552","20,552","1,413","4,024","2,501","1,501","4,592","3,371","1,649","1,010","441","48","2"
"대구광역시 수성구 수성1가동(2726057000)","18,966","18,966","1,357","2,241","2,269","1,702","3,269","3,208","2,294","1,663","855","103","5"
"대구광역시 수성구 수성2.3가동(2726058000)","12,308","12,308","1,172","1,775","1,244","1,212","2,493","1,816","1,372","837","351","31","5"
"대구광역시 수성구 수성4가동(2726059000)","15,362","15,362","919","1,488","2,145","1,555","2,299","2,932","2,095","1,225","614","83","7"
"대구광역시 수성구 황금1동(2726060100)","24,602","24,602","2,107","4,317","2,743","2,062","4,991","4,195","2,358","1,176","555","92","6"
"대구광역시 수성구 황금2동(2726060200)","11,339","11,339","581","907","1,798","1,406","1,802","1,951","1,489","965","384","55","1"
"대구광역시 수성구 중동(2726061000)","11,930","11,930","770","818","1,498","1,589","1,926","2,042","1,703","1,037","484","60","3"
"대구광역시 수성구 상동(2726062000)","16,941","16,941","1,071","1,346","2,120","2,105","2,525","2,919","2,567","1,501","674","106","7"
"대구광역시 수성구 파동(2726063000)","13,092","13,092","1,067","999","1,271","1,634","1,973","2,064","2,129","1,319","550","78","8"
"대구광역시 수성구 두산동(2726064000)","14,362","14,362","965","1,198","2,244","1,875","2,363","2,746","1,773","811","337","46","4"
"대구광역시 수성구 지산1동(2726065100)","22,954","22,954","1,098","2,011","3,324","2,343","3,318","4,303","3,407","2,061","951","133","5"
"대구광역시 수성구 지산2동(2726065200)","19,490","19,490","1,145","1,911","2,596","2,035","2,945","3,671","2,882","1,421","783","99","2"
"대구광역시 수성구 범물1동(2726066100)","11,845","11,845","401","737","1,436","972","1,403","2,252","2,350","1,453","738","99","4"
"대구광역시 수성구 범물2동(2726066200)","15,790","15,790","1,117","1,832","1,954","1,562","2,629","2,893","2,346","972","417","65","3"
"대구광역시 수성구 고산1동(2726067000)","31,943","31,943","2,362","4,864","4,492","2,900","5,802","5,917","3,219","1,503","777","103","4"
"대구광역시 수성구 고산2동(2726068000)","28,157","28,157","2,071","3,439","3,891","3,005","4,694","5,155","3,318","1,615","845","119","5"
"대구광역시 수성구 고산3동(2726069000)","34,566","34,566","2,652","4,389","4,965","3,581","5,863","6,766","3,456","1,764","1,013","110","7"
"대구광역시 달서구 (2729000000)","565,378","565,378","42,006","56,915","80,365","68,579","91,267","104,991","71,393","33,827","14,306","1,645","84"
"대구광역시 달서구 성당동(2729051500)","24,514","24,514","1,806","2,070","3,021","2,956","3,703","4,277","3,794","2,024","771","84","8"
"대구광역시 달서구 두류1.2동(2729053500)","15,301","15,301","642","772","2,440","1,955","1,972","2,739","2,525","1,564","619","67","6"
"대구광역시 달서구 두류3동(2729055000)","8,871","8,871","415","614","1,330","998","1,184","1,571","1,403","900","406","45","5"
"대구광역시 달서구 감삼동(2729055500)","28,170","28,170","2,211","2,400","4,347","3,922","4,245","5,268","3,598","1,586","524","67","2"
"대구광역시 달서구 죽전동(2729056300)","14,725","14,725","722","1,055","2,428","1,818","2,099","3,018","2,208","962","379","34","2"
"대구광역시 달서구 장기동(2729056800)","17,712","17,712","1,387","1,759","2,518","2,338","2,830","3,388","2,132","974","344","39","3"
"대구광역시 달서구 용산1동(2729057100)","32,045","32,045","2,147","3,737","5,131","3,478","5,419","6,691","3,310","1,483","593","54","2"
"대구광역시 달서구 용산2동(2729057200)","29,749","29,749","1,944","3,070","4,809","3,409","4,788","6,536","3,201","1,357","571","62","2"
"대구광역시 달서구 이곡1동(2729057600)","23,873","23,873","1,415","2,635","4,171","2,535","3,870","5,279","2,399","1,036","487","46","0"
"대구광역시 달서구 이곡2동(2729057700)","16,853","16,853","925","1,463","2,578","2,154","2,445","3,603","2,442","868","334","41","0"
"대구광역시 달서구 신당동(2729058500)","31,972","31,972","1,488","2,588","6,626","3,671","4,768","6,500","3,565","1,831","838","96","1"
"대구광역시 달서구 본리동(2729059000)","21,926","21,926","2,119","2,129","2,715","3,011","3,937","3,930","2,624","1,035","375","48","3"
"대구광역시 달서구 월성1동(2729060100)","44,089","44,089","5,343","8,353","4,216","4,811","10,797","5,822","2,837","1,283","549","70","8"
"대구광역시 달서구 월성2동(2729060200)","16,771","16,771","645","1,219","1,886","1,358","2,358","3,129","3,108","2,065","904","93","6"
"대구광역시 달서구 진천동(2729061500)","77,316","77,316","9,239","8,461","9,294","11,848","13,687","11,909","7,780","3,498","1,425","158","17"
"대구광역시 달서구 상인1동(2729062400)","40,022","40,022","3,116","4,975","5,493","4,284","6,594","7,443","4,901","2,082","1,003","126","5"
"대구광역시 달서구 상인2동(2729062500)","20,885","20,885","1,213","1,565","3,629","2,929","2,695","3,954","3,011","1,284","535","66","4"
"대구광역시 달서구 상인3동(2729062600)","11,628","11,628","402","608","1,308","1,175","1,286","2,332","2,549","1,288","600","80","0"
"대구광역시 달서구 도원동(2729062800)","36,895","36,895","2,455","3,765","5,187","4,020","5,352","7,501","5,325","2,151","1,024","115","0"
"대구광역시 달서구 송현1동(2729063000)","19,902","19,902","892","1,377","2,927","2,343","2,769","3,879","3,206","1,711","718","77","3"
"대구광역시 달서구 송현2동(2729064000)","18,768","18,768","793","1,313","2,572","2,001","2,473","3,553","3,320","1,803","825","108","7"
"대구광역시 달서구 본동(2729065000)","13,391","13,391","687","987","1,739","1,565","1,996","2,669","2,155","1,042","482","69","0"
"대구광역시 달성군 (2771000000)","257,154","257,154","29,872","23,585","29,062","42,243","42,728","40,621","28,509","13,665","6,099","743","27"
"대구광역시 달성군 화원읍(2771025000)","48,726","48,726","3,489","4,721","6,445","5,418","7,369","9,866","6,762","3,216","1,271","159","10"
"대구광역시 달성군 논공읍(2771025300)","4,553","4,553","253","173","467","555","556","922","862","482","248","34","1"
"대구광역시 달성군 논공읍공단출장소(2771025400)","14,066","14,066","908","1,560","1,939","1,460","2,691","3,015","1,470","650","333","37","3"
"대구광역시 달성군 다사읍(2771025600)","51,163","51,163","6,223","5,845","5,840","7,668","9,492","7,934","4,958","2,258","840","105","0"
"대구광역시 달성군 다사읍서재출장소(2771025700)","38,675","38,675","6,450","3,370","3,995","8,855","6,832","4,933","2,814","1,055","327","42","2"
"대구광역시 달성군 유가읍(2771025900)","29,946","29,946","5,508","3,310","2,513","6,605","5,804","2,903","2,079","799","375","48","2"
"대구광역시 달성군 옥포읍(2771026200)","25,236","25,236","2,701","1,722","2,750","4,134","3,574","4,364","3,540","1,686","695","70","0"
"대구광역시 달성군 현풍읍(2771026500)","23,509","23,509","2,579","1,706","3,198","4,640","3,642","3,236","2,499","1,329","605","72","3"
"대구광역시 달성군 가창면(2771031000)","8,041","8,041","424","514","702","684","989","1,383","1,619","1,004","618","100","4"
"대구광역시 달성군 하빈면(2771033000)","3,725","3,725","115","126","300","277","347","846","836","507","340","30","1"
"대구광역시 달성군 구지면(2771038000)","9,514","9,514","1,222","538","913","1,947","1,432","1,219","1,070","679","447","46","1"
"인천광역시  (2800000000)","2,947,217","2,947,217","235,526","277,423","404,099","412,813","486,833","513,748","353,459","175,105","75,394","11,889","928"
"인천광역시 중구 (2811000000)","138,783","138,783","12,184","12,552","19,308","21,320","24,410","20,077","15,482","9,191","3,572","607","80"
"인천광역시 중구 연안동(2811052000)","6,426","6,426","261","376","650","643","881","1,354","1,264","651","284","58","4"
"인천광역시 중구 신포동(2811053000)","5,235","5,235","240","358","557","504","836","910","820","632","311","61","6"
"인천광역시 중구 신흥동(2811054000)","13,462","13,462","910","1,150","1,635","1,688","2,091","2,304","1,946","1,184","469","79","6"
"인천광역시 중구 도원동(2811056000)","4,109","4,109","149","307","428","418","595","740","723","521","190","35","3"
"인천광역시 중구 율목동(2811057000)","3,439","3,439","123","220","378","320","501","636","630","430","163","33","5"
"인천광역시 중구 동인천동(2811058500)","6,024","6,024","204","302","648","691","794","1,142","1,095","732","335","68","13"
"인천광역시 중구 북성동(2811060000)","2,949","2,949","96","159","308","258","406","543","556","414","171","29","9"
"인천광역시 중구 송월동(2811061000)","4,618","4,618","216","342","532","476","622","856","784","539","204","35","12"
"인천광역시 중구 영종동(2811062000)","15,531","15,531","962","1,227","2,146","2,250","2,551","2,721","2,199","981","405","76","13"
"인천광역시 중구 영종1동(2811062200)","42,900","42,900","7,169","4,600","4,038","9,135","9,078","4,356","2,725","1,327","416","54","2"
"인천광역시 중구 운서동(2811062800)","29,944","29,944","1,761","3,384","7,714","4,641","5,538","3,570","1,700","1,172","422","40","2"
"인천광역시 중구 용유동(2811063000)","4,146","4,146","93","127","274","296","517","945","1,040","608","202","39","5"
"인천광역시 동구 (2814000000)","63,546","63,546","4,069","5,209","6,750","7,278","10,274","10,248","9,848","6,598","2,776","421","75"
"인천광역시 동구 만석동(2814051000)","7,184","7,184","507","615","769","854","1,246","1,209","1,001","627","296","50","10"
"인천광역시 동구 화수1.화평동(2814052500)","6,363","6,363","291","513","733","600","947","1,088","1,069","754","305","52","11"
"인천광역시 동구 화수2동(2814053000)","8,005","8,005","386","644","839","807","1,275","1,298","1,343","956","403","48","6"
"인천광역시 동구 송현1.2동(2814055500)","10,894","10,894","904","946","1,250","1,534","1,849","1,611","1,504","923","317","45","11"
"인천광역시 동구 송현3동(2814057000)","3,844","3,844","145","229","433","377","537","713","699","451","238","21","1"
"인천광역시 동구 송림1동(2814058000)","1,723","1,723","101","112","179","183","264","257","299","214","99","14","1"
"인천광역시 동구 송림2동(2814059000)","3,092","3,092","98","178","281","242","383","536","634","463","234","36","7"
"인천광역시 동구 송림3.5동(2814060500)","8,282","8,282","531","754","855","970","1,422","1,306","1,204","849","325","57","9"
"인천광역시 동구 송림4동(2814061000)","4,161","4,161","346","431","474","516","751","711","538","271","95","23","5"
"인천광역시 동구 송림6동(2814063000)","6,868","6,868","638","566","625","932","1,169","1,054","965","595","270","49","5"
"인천광역시 동구 금창동(2814064000)","3,130","3,130","122","221","312","263","431","465","592","495","194","26","9"
"인천광역시 미추홀구 (2817700000)","406,125","406,125","28,139","32,325","57,263","56,608","63,898","67,843","54,356","31,099","12,487","1,927","180"
"인천광역시 미추홀구 숭의2동(2817751000)","14,644","14,644","1,176","952","1,868","2,224","2,175","2,423","2,027","1,207","511","76","5"
"인천광역시 미추홀구 숭의1,3동(2817752000)","14,141","14,141","1,084","874","2,049","2,395","2,058","2,247","1,809","1,027","493","89","16"
"인천광역시 미추홀구 숭의4동(2817753000)","17,090","17,090","1,044","1,381","2,181","2,268","2,553","2,851","2,470","1,576","667","94","5"
"인천광역시 미추홀구 용현1,4동(2817754000)","17,198","17,198","677","1,015","3,771","1,831","2,143","2,680","2,503","1,781","674","108","15"
"인천광역시 미추홀구 용현2동(2817755000)","18,090","18,090","1,379","1,363","2,729","2,888","2,694","2,716","2,292","1,436","491","89","13"
"인천광역시 미추홀구 용현3동(2817756000)","7,598","7,598","306","383","860","866","1,044","1,311","1,397","933","419","66","13"
"인천광역시 미추홀구 용현5동(2817757000)","48,279","48,279","4,417","4,938","6,830","6,688","8,495","7,827","5,195","2,656","1,070","161","2"
"인천광역시 미추홀구 학익1동(2817758000)","31,870","31,870","2,344","3,521","4,209","3,432","5,641","5,634","4,032","2,131","798","121","7"
"인천광역시 미추홀구 학익2동(2817759000)","19,448","19,448","1,271","1,854","2,492","2,360","3,068","3,410","2,617","1,576","671","118","11"
"인천광역시 미추홀구 도화1동(2817760000)","23,799","23,799","1,776","1,625","3,368","3,786","3,634","3,832","3,082","1,842","727","119","8"
